id,Turno Carga,equipo_acarreo,operador_acarreo,material,flota_carguio,equipo_carguio,duracion_llegada,duracion_acarreo,duracion_descarga,duracion_viajando_vacio,tonelaje,efh_cargado_km,efh_vacio_km,distancia_cargado_km,distancia_vacia_km,velocidad_cargado,velocidad_vacio
1104116,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,271,120,48,124.2,305.0,1.0,1.24,0.66,0.61,20.22,18.24
1104117,A,Equipo_acarreo 2,Operador 2,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,158,338,50,271.8,275.0,2.82,2.72,2.23,2.3,23.71,26.32
1104119,A,Equipo_acarreo 4,Operador 4,Desmonte,Flota_carguio 1,Equipo_carguio 4,6,216,50,448.2,273.0,1.8,4.48,1.28,3.28,20.51,25.73
1104120,A,Equipo_acarreo 5,Operador 5,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,4,340,34,394.8,298.0,2.83,3.95,2.25,2.3,23.95,29.35
1104124,A,Equipo_acarreo 9,Operador 9,Desmonte,Flota_carguio 1,Equipo_carguio 6,142,204,42,340.2,282.0,1.7,3.4,1.44,1.39,24.85,33.03
1104125,A,Equipo_acarreo 10,Operador 10,Desmonte,Flota_carguio 1,Equipo_carguio 4,157,204,36,315.0,270.0,1.7,3.15,1.2,1.24,20.99,28.5
1104126,A,Equipo_acarreo 11,Operador 11,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,196,362,58,145.8,302.0,3.02,1.46,2.73,1.22,27.16,31.37
1104127,A,Equipo_acarreo 12,Operador 12,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,6,350,42,384.0,275.0,2.92,3.84,2.24,3.0,22.93,29.35
1104128,A,Equipo_acarreo 13,Operador 13,Mineral Sulfuro,Flota_carguio 2,Equipo_carguio 3,260,872,44,397.8,274.0,7.27,3.98,3.99,4.03,16.26,36.47
1104129,A,Equipo_acarreo 14,Operador 14,Desmonte,Flota_carguio 2,Equipo_carguio 5,84,743,46,292.2,271.0,6.19,2.92,1.4,3.27,15.54,34.61
1104131,A,Equipo_acarreo 1,Operador 1,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 1,0,120,46,112.2,290.0,1.0,1.12,0.67,0.61,20.33,20.32
1104132,A,Equipo_acarreo 16,Operador 16,Desmonte,Flota_carguio 1,Equipo_carguio 6,6,190,36,438.0,270.0,1.58,4.38,1.43,3.91,27.54,33.33
1104134,A,Equipo_acarreo 18,Operador 18,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,99,362,38,418.2,292.0,3.02,4.18,2.27,3.4,22.5,29.46
1104135,A,Equipo_acarreo 19,Operador 19,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,218,336,42,223.2,288.0,2.8,2.23,2.31,2.3,24.57,31.79
1104136,A,Equipo_acarreo 2,Operador 2,Desmonte,Flota_carguio 1,Equipo_carguio 4,200,226,54,331.8,279.0,1.88,3.32,1.24,1.24,19.48,31.49
1104137,A,Equipo_acarreo 20,Operador 20,Desmonte,Flota_carguio 1,Equipo_carguio 6,2,198,46,166.2,287.0,1.65,1.66,1.45,1.48,25.76,32.42
1104138,A,Equipo_acarreo 21,Operador 21,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,246,350,30,411.0,299.0,2.92,4.11,2.3,2.3,23.69,30.4
